French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
demande,request
mois,month
mettre,to put
aucun,no
eux,them
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
vont,will
aucune,any
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
perdu,lost
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
enfin,finally
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
